relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201004544,201004545,801000001,100,克,
R_000002,201004544,201004546,801000001,2000,克,
R_000003,201004544,201004547,801000003,,,1.0
R_000004,201004544,201004548,801000003,,,2.0
R_000005,201004544,201004549,801000003,,,3.0
R_000006,201004544,201004550,801000003,,,4.0
R_000007,201004544,201004551,801000003,,,5.0
R_000008,201004544,760000000,801000004,,,
R_000009,201004544,620000000,801000005,,,
R_000010,201004552,201004553,801000001,1,个,
R_000011,201004552,201004554,801000001,1-2,个,
R_000012,201004552,201004555,801000001,2,滴,
R_000013,201004552,201004556,801000001,5,克,
R_000014,201004552,201004557,801000001,15,克,
R_000015,201004552,201004558,801000001,15,克,
R_000016,201004552,201004559,801000003,,,1.0
R_000017,201004552,201004560,801000003,,,2.0
R_000018,201004552,201004561,801000003,,,3.0
R_000019,201004552,201004562,801000003,,,4.0
R_000020,201004552,201004563,801000003,,,5.0
R_000021,201004552,201004564,801000003,,,6.0
R_000022,201004552,201004565,801000003,,,7.0
R_000023,201004552,201004566,801000003,,,8.0
R_000024,201004552,760000000,801000004,,,
R_000025,201004552,620000000,801000005,,,
R_000026,201004567,201004568,801000001,150,g,
R_000027,201004567,201004569,801000001,1,个,
R_000028,201004567,201004570,801000001,1,个,
R_000029,201004567,201004571,801000001,适量,,
R_000030,201004567,201004572,801000001,适量,,
R_000031,201004567,201004573,801000001,适量,,
R_000032,201004567,201004574,801000001,2,g,
R_000033,201004567,201004575,801000001,0.5,g,
R_000034,201004567,201004576,801000003,,,1.0
R_000035,201004567,201004577,801000003,,,2.0
R_000036,201004567,201004578,801000003,,,3.0
R_000037,201004567,201004579,801000003,,,4.0
R_000038,201004567,201004580,801000003,,,5.0
R_000039,201004567,201004581,801000003,,,6.0
R_000040,201004567,201004582,801000003,,,7.0
R_000041,201004567,201004583,801000003,,,8.0
R_000042,201004567,201004584,801000003,,,9.0
R_000043,201004567,201004585,801000003,,,10.0
R_000044,201004567,201004586,801000003,,,11.0
R_000045,201004567,201004587,801000003,,,12.0
R_000046,201004567,760000000,801000004,,,
R_000047,201004567,630000000,801000005,,,
R_000048,201004588,201004589,801000001,200,克,
R_000049,201004588,201004590,801000001,50,克,
R_000050,201004588,201004591,801000001,15,克,
R_000051,201004588,201004592,801000001,10,克,
R_000052,201004588,201004593,801000001,200,毫升,
R_000053,201004588,201004594,801000001,30,毫升,
R_000054,201004588,201004595,801000001,100,毫升,
R_000055,201004588,201004596,801000001,2,克,
R_000056,201004588,201004597,801000001,1,克,
R_000057,201004588,201004598,801000003,,,1.0
R_000058,201004588,201004599,801000003,,,2.0
R_000059,201004588,201004600,801000003,,,3.0
R_000060,201004588,201004601,801000003,,,4.0
R_000061,201004588,201004602,801000003,,,5.0
R_000062,201004588,201004603,801000003,,,6.0
R_000063,201004588,201004604,801000003,,,7.0
R_000064,201004588,760000000,801000004,,,
R_000065,201004588,610000000,801000005,,,
R_000066,201004605,201004606,801000001,1000,毫升,
R_000067,201004605,201004607,801000001,50,克,
R_000068,201004605,201004608,801000001,50,克,
R_000069,201004605,201004609,801000001,50,克,
R_000070,201004605,201004610,801000001,50,克,
R_000071,201004605,201004611,801000001,50,克,
R_000072,201004605,201004612,801000001,25,克,
R_000073,201004605,201004613,801000001,25,克,
R_000074,201004605,201004614,801000001,25,克,
R_000075,201004605,201004615,801000001,25,克,
R_000076,201004605,201004616,801000001,25,克,
R_000077,201004605,201004617,801000001,25,克,
R_000078,201004605,201004618,801000001,25,克,
R_000079,201004605,201004619,801000001,25,克,
R_000080,201004605,201004620,801000001,25,克,
R_000081,201004605,201004621,801000001,25,克,
R_000082,201004605,201004622,801000001,25,克,
R_000083,201004605,201004623,801000001,25,克,
R_000084,201004605,201004624,801000001,10~25,克,
R_000085,201004605,201004625,801000003,,,1.0
R_000086,201004605,201004626,801000003,,,2.0
R_000087,201004605,201004627,801000003,,,3.0
R_000088,201004605,201004628,801000003,,,4.0
R_000089,201004605,201004629,801000003,,,5.0
R_000090,201004605,201004630,801000003,,,6.0
R_000091,201004605,760000000,801000004,,,
R_000092,201004605,640000000,801000005,,,
R_000093,201004631,201004632,801000001,500,mL,
R_000094,201004631,201004633,801000001,250,g,
R_000095,201004631,201004634,801000001,2,罐,
R_000096,201004631,201004635,801000001,5,g,
R_000097,201004631,201004636,801000001,400,g,
R_000098,201004631,201004637,801000001,100,g,
R_000099,201004631,201004638,801000001,100,g,
R_000100,201004631,201004639,801000001,100,g,
R_000101,201004631,201004640,801000001,200,g,
R_000102,201004631,201004641,801000001,150,g,
R_000103,201004631,201004642,801000001,5,mL,
R_000104,201004631,201004643,801000001,5,mL,
R_000105,201004631,201004644,801000001,18,g,
R_000106,201004631,201004645,801000001,3,g,
R_000107,201004631,201004646,801000003,,,1.0
R_000108,201004631,201004647,801000003,,,2.0
R_000109,201004631,201004648,801000003,,,3.0
R_000110,201004631,201004649,801000003,,,4.0
R_000111,201004631,760000000,801000004,,,
R_000112,201004631,640000000,801000005,,,
