startNodeId,endNodeId,relationshipType,relationshipId,amount,unit,step_order
201000001,201000002,801000001,R_000001,2,个,
201000001,201000003,801000001,R_000002,1,盒,
201000001,201000004,801000001,R_000003,15,ml,
201000001,201000005,801000001,R_000004,2.5,g,
201000001,201000006,801000001,R_000005,15,ml,
201000001,201000007,801000001,R_000006,15,ml,
201000001,201000008,801000001,R_000007,10,ml,
201000001,201000009,801000001,R_000008,10,g,
201000001,201000010,801000001,R_000009,15,g,
201000001,201000011,801000001,R_000010,1,株,
201000001,201000012,801000003,R_000011,,,1.0
201000001,201000013,801000003,R_000012,,,2.0
201000001,201000014,801000003,R_000013,,,3.0
201000001,201000015,801000003,R_000014,,,4.0
201000001,710000000,801000004,R_000015,,,
201000001,610000000,801000005,R_000016,,,
201000016,201000017,801000001,R_000017,0.8,块,
201000016,201000018,801000001,R_000018,0.5,只,
201000016,201000019,801000001,R_000019,0.67,根,
201000016,201000020,801000001,R_000020,3,g,
201000016,201000021,801000001,R_000021,1.5,g,
201000016,201000022,801000001,R_000022,9,ml,
201000016,201000023,801000001,R_000023,10,ml,
201000016,201000024,801000003,R_000024,,,1.0
201000016,201000025,801000003,R_000025,,,2.0
201000016,201000026,801000003,R_000026,,,3.0
201000016,201000027,801000003,R_000027,,,4.0
201000016,201000028,801000003,R_000028,,,5.0
201000016,201000029,801000003,R_000029,,,6.0
201000016,201000030,801000003,R_000030,,,7.0
201000016,201000031,801000003,R_000031,,,8.0
201000016,201000032,801000003,R_000032,,,9.0
201000016,710000000,801000004,R_000033,,,
201000016,630000000,801000005,R_000034,,,
201000033,201000034,801000001,R_000035,200,g,
201000033,201000035,801000001,R_000036,30,g,
201000033,201000036,801000001,R_000037,50,g,
201000033,201000037,801000001,R_000038,15,ml,
201000033,201000038,801000001,R_000039,10,g,
201000033,201000039,801000001,R_000040,1,g,
201000033,201000040,801000001,R_000041,5,g,
201000033,201000041,801000001,R_000042,20,ml,
201000033,201000042,801000003,R_000043,,,1.0
201000033,201000043,801000003,R_000044,,,2.0
